cycle,force_efx
1,8507.26660000
2,9367.42280000
3,120091.39030000
4,118430.30000000
5,195335.48000000
6,114630.58000000
7,90974.94000000
8,170005.58000000
9,120423.70000000
10,23888.30000000
11,26483.80000000
12,33879.87000000
13,20014.20000000
